"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","FAQ Section","Проверка раскрытия текста второго вопроса","0","0","1","0","0"
"","FAQ Section","Проверка раскрытия текста первого вопроса","0","0","1","0","0"
"","FAQ Section","Проверка раскрытия текста шестого вопроса","0","0","1","0","0"
"","Навигация по внешним ссылкам","Проверка перехода на Дзен через логотип Яндекса","0","0","1","0","0"
"","Оформление заказа","Полное оформление заказа через разные точки входа с разными данными","0","0","2","0","0"
"","FAQ Section","Проверка раскрытия текста третьего вопроса","0","0","1","0","0"
"","FAQ Section","Проверка раскрытия текста седьмого вопроса","0","0","1","0","0"
"","FAQ Section","Проверка раскрытия текста пятого вопроса","0","0","1","0","0"
"","FAQ Section","Проверка раскрытия текста восьмого вопроса","0","0","1","0","0"
"","FAQ Section","Проверка раскрытия текста четвёртого вопроса","0","0","1","0","0"
"","Навигация по сайту","Проверка перехода на главную страницу через логотип «Самокат»","0","0","1","0","0"
