"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 05 21:33:35 MSK 2026","Sat Sep 05 21:33:36 MSK 2026","520","tests","test_faq","TestFAQQuestions","","","Вопрос 2: Хочу сразу несколько самокатов! Так можно?",""
"passed","Sat Sep 05 21:33:16 MSK 2026","Sat Sep 05 21:33:16 MSK 2026","170","tests","test_faq","TestFAQQuestions","","","Вопрос 1: Сколько это стоит? И как оплатить?",""
"passed","Sat Sep 05 21:34:55 MSK 2026","Sat Sep 05 21:34:56 MSK 2026","810","tests","test_faq","TestFAQQuestions","","","Вопрос 6: Вы привозите зарядку вместе с самокатом?",""
"passed","Sat Sep 05 21:36:57 MSK 2026","Sat Sep 05 21:37:06 MSK 2026","8708","tests","test_yandex_logo_redirect","","","","test_yandex_logo_redirect",""
"passed","Sat Sep 05 21:36:33 MSK 2026","Sat Sep 05 21:36:40 MSK 2026","7680","tests","test_order","TestOrderFlow","","","Заказ через кнопку footer: Иван Петров",""
"passed","Sat Sep 05 21:33:55 MSK 2026","Sat Sep 05 21:33:56 MSK 2026","850","tests","test_faq","TestFAQQuestions","","","Вопрос 3: Как рассчитывается время аренды?",""
"passed","Sat Sep 05 21:35:14 MSK 2026","Sat Sep 05 21:35:14 MSK 2026","555","tests","test_faq","TestFAQQuestions","","","Вопрос 7: Можно ли отменить заказ?",""
"passed","Sat Sep 05 21:34:36 MSK 2026","Sat Sep 05 21:34:37 MSK 2026","673","tests","test_faq","TestFAQQuestions","","","Вопрос 5: Можно ли продлить заказ или вернуть самокат раньше?",""
"passed","Sat Sep 05 21:35:33 MSK 2026","Sat Sep 05 21:35:34 MSK 2026","826","tests","test_faq","TestFAQQuestions","","","Вопрос 8: Я живу за МКАДом, привезёте?",""
"passed","Sat Sep 05 21:34:16 MSK 2026","Sat Sep 05 21:34:16 MSK 2026","264","tests","test_faq","TestFAQQuestions","","","Вопрос 4: Можно ли заказать самокат прямо на сегодня?",""
"passed","Sat Sep 05 21:35:52 MSK 2026","Sat Sep 05 21:35:53 MSK 2026","289","tests","test_navigation","","","","test_logo_navigation","
Тест: нажимаем на логотип «Самокат» → попадаем на главную страницу.
Сценарий:
1. Открываем главную страницу.
2. Нажимаем «Заказать» → появляется форма заказа.
3. Нажимаем на логотип «Самокат» → переходим на главную.
4. Проверяем, что URL совпадает с base_url.
"
"passed","Sat Sep 05 21:36:12 MSK 2026","Sat Sep 05 21:36:15 MSK 2026","2922","tests","test_order","TestOrderFlow","","","Заказ через кнопку header: Анна Сидорова",""
